Sprint,Task ID,Task Description,Assigned To,Priority,Story Points,Estimated Hours,Actual Hours,Status,Start Date,End Date,Notes
Sprint 1,T-001,Set up project structure (MVC folders and build scripts),Team Lead,High,2,3,3,Done,2026-02-15,2026-02-15,Project structure with model/view/controller/util packages
Sprint 1,T-002,Implement User model class,Member 1,High,2,2,2,Done,2026-02-16,2026-02-16,Includes Role enum (ADMIN/STAFF) and Serializable
Sprint 1,T-003,Implement Train model class,Member 1,High,3,2,2,Done,2026-02-16,2026-02-17,Includes occupancy rate calculation
Sprint 1,T-004,Implement Passenger model class,Member 2,High,2,2,2,Done,2026-02-16,2026-02-16,Includes national ID and registration date
Sprint 1,T-005,Implement Reservation model class,Member 2,High,3,2,2,Done,2026-02-17,2026-02-17,Includes Status enum and price calculation
Sprint 1,T-006,Implement DataStore with file-based persistence,Member 3,High,5,6,7,Done,2026-02-16,2026-02-19,Singleton pattern with Java serialization
Sprint 1,T-007,Implement UIStyle utility class,Member 4,Medium,3,4,4,Done,2026-02-17,2026-02-18,Color palette and font constants and component factories
Sprint 1,T-008,Implement AuthController,Member 3,High,2,3,3,Done,2026-02-19,2026-02-20,Login/logout/role checking logic
Sprint 1,T-009,Implement LoginFrame GUI,Member 4,High,3,4,4,Done,2026-02-19,2026-02-21,Login screen with styled form
Sprint 1,T-010,Implement MainFrame with tabbed navigation,Member 5,High,3,4,4,Done,2026-02-20,2026-02-22,Top bar with user info and logout and left-side tabs
Sprint 1,T-011,Implement TrainController (CRUD logic),Member 1,High,3,4,4,Done,2026-02-20,2026-02-22,Add/update/delete with validation
Sprint 1,T-012,Implement TrainPanel GUI,Member 5,High,5,6,6,Done,2026-02-22,2026-02-25,Split pane with table and form
Sprint 1,T-013,Write Project Initiation document,Member 6,Medium,2,3,3,Done,2026-02-22,2026-02-24,Scope and objectives and target audience
Sprint 1,T-014,Write Product Backlog document,Team Lead,High,3,4,4,Done,2026-02-24,2026-02-26,39 user stories prioritized
Sprint 1,T-015,Sprint 1 testing and bug fixing,All Members,High,2,4,4,Done,2026-02-26,2026-02-28,All login and train features tested
Sprint 2,T-016,Implement PassengerController (CRUD logic),Member 1,High,3,4,4,Done,2026-03-01,2026-03-03,Includes duplicate national ID check
Sprint 2,T-017,Implement PassengerPanel GUI,Member 2,High,5,6,5,Done,2026-03-01,2026-03-05,Split pane with table and form
Sprint 2,T-018,Implement ReservationController,Member 3,High,5,6,7,Done,2026-03-01,2026-03-06,Book/cancel with seat validation and restoration
Sprint 2,T-019,Implement ReservationPanel GUI,Member 4,High,5,8,8,Done,2026-03-03,2026-03-09,Booking form with dropdowns and confirmation dialog
Sprint 2,T-020,Implement booking confirmation generation,Member 3,Medium,2,3,3,Done,2026-03-06,2026-03-07,Formatted text confirmation display
Sprint 2,T-021,Implement seat availability validation,Member 3,High,3,3,3,Done,2026-03-07,2026-03-08,Real-time display when selecting train
Sprint 2,T-022,Create Use Case Diagram,Member 5,High,2,3,3,Done,2026-03-08,2026-03-10,2 actors and 16 use cases
Sprint 2,T-023,Write Use Case Scenarios,Member 5,High,3,4,4,Done,2026-03-10,2026-03-12,6 detailed use case scenarios
Sprint 2,T-024,Create Class Diagram,Member 6,High,2,3,3,Done,2026-03-08,2026-03-10,14 classes with relationships
Sprint 2,T-025,Create Sequence Diagrams,Member 6,High,3,4,4,Done,2026-03-10,2026-03-13,Login and booking and cancellation flows
Sprint 2,T-026,Create Activity Diagrams,Member 5,Medium,2,3,3,Done,2026-03-12,2026-03-14,Booking and login and report generation flows
Sprint 2,T-027,Write Architectural Design document,Team Lead,High,3,4,4,Done,2026-03-13,2026-03-16,MVC justification and component diagram
Sprint 2,T-028,Integration testing Sprint 2,All Members,High,3,4,4,Done,2026-03-16,2026-03-18,Passenger + reservation end-to-end flow
Sprint 2,T-029,Sprint 2 documentation review,Team Lead,Medium,2,3,3,Done,2026-03-17,2026-03-18,Final review of all diagrams and documents
Sprint 3,T-030,Implement DashboardPanel with stats,Member 4,High,5,6,6,Done,2026-03-20,2026-03-23,5 stat cards with summary data
Sprint 3,T-031,Implement occupancy bar chart,Member 4,Medium,3,3,3,Done,2026-03-23,2026-03-24,Custom Graphics2D painted chart
Sprint 3,T-032,Implement reservation pie chart,Member 4,Medium,3,3,3,Done,2026-03-24,2026-03-25,Custom painted pie with legend
Sprint 3,T-033,Implement ReportsPanel framework,Member 5,High,3,4,4,Done,2026-03-20,2026-03-22,Date range and 4 report type buttons
Sprint 3,T-034,Implement Booking Report,Member 5,High,3,4,4,Done,2026-03-22,2026-03-24,Date-filtered report with stats and table
Sprint 3,T-035,Implement Revenue Analysis Report,Member 5,High,3,4,4,Done,2026-03-24,2026-03-26,Per-train revenue with bar chart
Sprint 3,T-036,Implement Utilization Report,Member 6,Medium,2,3,3,Done,2026-03-24,2026-03-26,Occupancy rates and high-utilization count
Sprint 3,T-037,Implement Passenger Activity Report,Member 6,Medium,2,3,3,Done,2026-03-26,2026-03-27,Per-passenger bookings and spending
Sprint 3,T-038,Prepare Test Plan and Test Cases,Member 1,High,3,6,6,Done,2026-03-25,2026-03-29,61 test cases across 7 modules
Sprint 3,T-039,Execute test cases and document results,Member 2,High,3,4,4,Done,2026-03-29,2026-03-31,All 61 tests passed
Sprint 3,T-040,Final integration and regression testing,All Members,High,3,4,4,Done,2026-03-31,2026-04-01,Complete system end-to-end testing
Sprint 3,T-041,Set up GitHub repository and first release,Team Lead,High,2,3,3,Done,2026-04-01,2026-04-02,All team members added as collaborators
Sprint 3,T-042,Prepare presentation slides,Member 3,Medium,3,4,4,Done,2026-04-02,2026-04-04,Covers all modules and demo
Sprint 3,T-043,Write README and finalize docs,Team Lead,Medium,2,3,3,Done,2026-04-04,2026-04-05,Build instructions and feature summary
